2023-09-27 20:28:06,459 p=21388 u=belov n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-09-27 20:31:28,430 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_extension_conf_paths.] *********************************************************************************************************************************************************
2023-09-27 20:31:28,456 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,472 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_apc_conf_filename.] ************************************************************************************************************************************************************
2023-09-27 20:31:28,496 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,515 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_opcache_conf_filename (Ubuntu 16.04).] *****************************************************************************************************************************************
2023-09-27 20:31:28,538 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:28,558 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_opcache_conf_filename.] ********************************************************************************************************************************************************
2023-09-27 20:31:28,582 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,601 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Define php_fpm_conf_path.] ****************************************************************************************************************************************************************
2023-09-27 20:31:28,626 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:28,648 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:31:28,658 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:31:28,678 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:31:28,711 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.php/tasks/setup-Debian.yml for zabbix_server
2023-09-27 20:31:28,749 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Update apt cache.] ************************************************************************************************************************************************************************
2023-09-27 20:31:30,184 p=21425 u=belov n=ansible | ok: [zabbix_server]
2023-09-27 20:31:30,208 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Ensure PHP packages are installed.] *******************************************************************************************************************************************************
2023-09-27 20:33:30,946 p=21425 u=belov n=ansible | changed: [zabbix_server]
2023-09-27 20:33:30,964 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Delete APCu configuration file if this role will provide one.] ****************************************************************************************************************************
2023-09-27 20:33:32,428 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:33:33,501 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:33:34,539 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:33:34,565 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Delete OpCache configuration file if this role will provide one.] *************************************************************************************************************************
2023-09-27 20:33:35,449 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:33:36,610 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:33:37,843 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:33:37,865 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:33:37,881 p=21425 u=belov n=ansible | skipping: [zabbix_server]
2023-09-27 20:33:37,897 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:33:37,926 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.php/tasks/configure.yml for zabbix_server
2023-09-27 20:33:37,957 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Ensure configuration directories exist.] **************************************************************************************************************************************************
2023-09-27 20:33:39,110 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/fpm)
2023-09-27 20:33:40,196 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/apache2)
2023-09-27 20:33:41,325 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/cli)
2023-09-27 20:33:42,369 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/fpm/conf.d)
2023-09-27 20:33:43,477 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/apache2/conf.d)
2023-09-27 20:33:44,679 p=21425 u=belov n=ansible | ok: [zabbix_server] => (item=/etc/php/7.4/cli/conf.d)
2023-09-27 20:33:44,701 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Place PHP configuration file in place.] ***************************************************************************************************************************************************
2023-09-27 20:33:47,171 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/fpm)
2023-09-27 20:33:49,599 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/apache2)
2023-09-27 20:33:51,691 p=21425 u=belov n=ansible | changed: [zabbix_server] => (item=/etc/php/7.4/cli)
2023-09-27 20:33:51,712 p=21425 u=belov n=ansible | TASK [geerlingguy.php : include_tasks] ****************************************************************************************************************************************************************************
2023-09-27 20:33:51,742 p=21425 u=belov n=ansible | included: /home/belov/.ansible/roles/geerlingguy.php/tasks/configure-apcu.yml for zabbix_server
2023-09-27 20:33:51,775 p=21425 u=belov n=ansible | TASK [geerlingguy.php : Check for existing APCu config files.] ****************************************************************************************************************************************************
